Root,Expertise,MappedExpertise,Actors,Count
Expertise,Analytics,Learning analytics,Rogelio Cardona-Rivera,
Expertise,Learning Environments and Platforms,Narrative and simulated environments,Rogelio Cardona-Rivera,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Rogelio Cardona-Rivera,
Expertise,AI Approaches and Technologies,AI,Rogelio Cardona-Rivera,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Rogelio Cardona-Rivera,
Expertise,Learning Environments and Platforms,Games and game making,Rogelio Cardona-Rivera,
Expertise,Disciplinary Areas,Engineering education,Fatma Baytar,
Expertise,Research Methods,HCI,Fatma Baytar,
Expertise,Other Domains,Material science,Fatma Baytar,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Fatma Baytar,
Expertise,Other Domains,Computing technology,Fatma Baytar,
Expertise,Learning Processes and Theories,Self-regulation reflection and metacognition,Marcela Borge,
Expertise,Research Methods,HCI,Marcela Borge,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Marcela Borge,
Expertise,Learning Processes and Theories,Collaborative and/or participatory learning,Marcela Borge,
Expertise,Research Methods,Design-based research (DBR),Marcela Borge,
Expertise,Research Methods,Scenario-based design,Marcela Borge,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Mubbasir Kapadia,
Expertise,AI Approaches and Technologies,AI,Mubbasir Kapadia,
Expertise,AI Approaches and Technologies,Pedagogical agents,Mubbasir Kapadia,
Expertise,Learning Environments and Platforms,Games and game making,Mubbasir Kapadia,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Mubbasir Kapadia,
Expertise,Equity and Social Justice,Critical theory and identity,Melissa Tehee,
Expertise,Equity and Social Justice,Community partnerships,Melissa Tehee,
Expertise,Research Methods,HCI,Eleanor O'Rourke,
Expertise,Disciplinary Areas,Computer science education,Eleanor O'Rourke,
Expertise,Learning Environments and Platforms,Games and game making,Eleanor O'Rourke,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Stephen Looney,
Expertise,Analytics,Learning analytics,Stephen Looney,
